RP11-277P12.10
GABRA3
RP11-1055B8.2
RP11-1038A11.3
GSTA2
BNC1
MAGEA6
ISX
MAGEA3
RP13-614K11.2
CDH7
CALML3
CLEC2L
ZNF280A
ANXA13
SOX14
GAL
FGB
CDX2
LINC00973
CTC-529P8.1
LCN15
RP11-416I2.1
ONECUT2
CPN1
GLYATL1
RP1-140K8.5
RP11-244M2.1
PBK
CEL
ANLN
DEPDC1
HMGA2
ITPKA
RP11-734K21.5
ACMSD
UGT2B15
PITX1
LINC00460
PCSK1
CTD-2034I21.2
UGT2B7
PLK1
RP11-54H7.4
PKMYT1
AZGP1
STRA6
CNTD2
MND1
RP11-542G1.1
SLC13A2
CDCA3
AC005355.2
MET
GJB5
CDC45
ADGRF4
CLDN2
FGL1
KIF4A
KRT18
GJB4
VIL1
CCNB2
RAD54L
AMBP
RP11-595B24.2
FGFBP1
KRT8
EPHA8
EN2
ETV4
DIAPH3
BIRC5
ENTPD2
PLAC1
CDH3
DHRS2
ZNF695
DDC
DBNDD1
SERPINB5
SPDEF
S100A2
IL37
IRX2
STC2
CTD-3010D24.3
CDC25C
AUNIP
CDC25A
LY6D
RP11-468N14.13
MNX1-AS1
E2F8
GLB1L3
RP11-66N24.6
FEZF1
RP11-109J4.1
RP11-254I22.3
KIF14
DNAJC22
CDC20
FAM64A
RNF183
RP11-474D1.3
CMBL
TICRR
FOXM1
PHYHIPL
LVCAT1
HSD11B2
ALDOB
ARSE
S100A16
YBX2
NR0B1
RCOR2
RP5-965G21.4
NKX2-8
SKA3
TEAD4
MESP2
STEAP1
MGST1
SYT7
CTXN1
HPDL
AC009410.1
KRT6B
KRT7
IFNE
SFN
TROAP
PAH
RP4-809F18.1
AC005256.1
RP11-699L21.1
SLC13A3
KIF18B
LINC01224
GINS2
KCNJ12
PYCR1
KRT19
TFF3
CDT1
MYEOV
NEK2
FERMT1
GJB3
FOXA3
MNX1
TRIM15
LINC00524
OIP5
CLDN9
RP11-353N14.2
KISS1
TPX2
NKAIN1
RAC3
DSG2
CDSN
THEG
TMEM132A
TUSC8
EXO1
SOX9
PKP3
KRT80
IQGAP3
POC1A
CDC6
GOLT1A
TMEM40
RDM1
TMEM92
RASL10B
TFAP2A
EPCAM
CPNE4
NHLH2
MARVELD3
PLPP2
CTD-2021H9.3
CLDN4
MAL2
RP11-284F21.9
PDZK1IP1
AC021218.2
E2F2
HOXC8
FAM84A
HOXB13
SEZ6L2
SIM2
CEP55
NQO1
HOXB8
CCND1
HNF4A
AKR1C4
METTL7B
CLDN3
GAD1
ORM2
WBSCR28
IGFBP2
HNF1A
KDF1
TSKU
ZNF503-AS1
EGFR
PROM2
KCNK1
PODXL2
MMP7
MANEAL
MEST
CA9
RP11-794G24.1
EPHB4
KLK6
RNF39
MDFI
RNF223
PKP1
SLC25A10
PHACTR3
TM4SF1
CDC42EP5
BAIAP2L1
IMPA2
LURAP1L
KLC3
DSP
SLC44A3
RP11-114M1.1
TPD52L1
EFNB2
RP11-732A21.3
CCNO
ARSJ
FHL2
TMPRSS4
AJUBA
WNT3
AK4
EHF
TRNP1
TMEM105
ENAH
S100A14
GRB7
ADRA2C
RIPK4
CDH1
HOXB9
RP11-396C23.2
TMEM98
TMEM54
BTC
FAM71E1
