RP11-277P12.10
RP13-895J2.6
BNC1
MAGEA6
ISX
MAGEA3
RP13-614K11.2
CDH7
CALML3
A1CF
CLEC2L
ZNF280A
ANXA13
SOX14
GAL
RP11-626H12.2
FGB
HOXD11
CDX2
LINC00973
CTC-529P8.1
LINC01234
RP11-416I2.1
LCN15
ONECUT2
KCNF1
CPN1
CDK5R2
GLYATL1
RP1-140K8.5
RP11-221N13.3
PPP1R14D
RP11-244M2.1
CEL
RETNLB
PBK
LRRIQ4
ANLN
DEPDC1
RNF186
LINC01510
HMGA2
ITPKA
ACMSD
SYNGR4
RP11-734K21.5
UGT2B15
LINC00460
MYO3A
PITX1
PCSK1
CTD-2034I21.2
SPC25
RP11-54H7.4
PLK1
INSM1
UGT2B7
DLGAP5
TBX10
KRTAP4-1
PKMYT1
STRA6
MND1
AZGP1
CNTD2
AC005355.2
CDCA3
MET
SLC13A2
SLC38A3
GJB5
RRM2
CDC45
ADGRF4
PHGR1
KIF4A
NPTX2
FGL1
UBE2C
CALCA
GJB4
PCDHGA1
VIL1
CCNB2
FGFBP1
RP11-595B24.2
RAD54L
EPHA8
FAM25A
CRYBA2
CPLX2
AC011298.2
DIAPH3
AURKB
RP11-211G23.2
ENTPD2
BIRC5
HJURP
HMMR
DHRS2
GTSE1
SERPINB5
DBNDD1
PADI1
FAM83A
KRT6A
COL17A1
SPDEF
CTC-573N18.1
S100A2
IL37
DPP10
STC2
RP11-546K22.1
CDC25C
CTD-3010D24.3
SAA1
TK1
LY6D
XG
RP5-875H18.9
E2F8
HEPACAM2
DLL3
MKI67
SLC25A48
RNF183
KIF14
CDCA5
KLK5
CMBL
PHYHIPL
INHA
CENPA
MELK
BCO1
FABP1
PLOD2
LINC01511
GJC3
TMED6
AC007879.7
KIF12
SAA2
CHST1
GALNT14
MYBL2
SLC7A9
VSTM2L
GAS2
RP13-463N16.6
TYMS
KRT24
SAA4
KIAA0101
BEAN1
GRB14
ZFHX4
AGT
RP11-368L12.1
APCDD1L
S100A3
