TRGV2
TRAV12-2
AC007349.5
AC097713.4
KRT73
KLRF2
TRBV27
TRBV5-4
RP11-342D11.3
RP11-764E7.1
RP11-348F1.2
AMER2
TRBV14
TRAV2
IGLV5-48
KRT1
TRGV4
RP11-428G5.5
AC004791.2
TRAV6
KLRC3
CLEC4C
SSTR3
TRBV3-1
RP11-71G12.1
AMPD1
TRAV41
TRBV18
SIGLEC6
GML
TRAV14DV4
FNDC9
TRAV3
FLJ45079
TRBV6-2
TRAV9-2
RP11-118B22.4
PPP1R17
AF127936.3
LIM2
RP1-111D6.3
KRT72
TRBV24-1
RP11-106M7.1
SLC32A1
HEATR9
IGKV2D-28
RP11-73G16.2
TRBV9
TRGV8
CCR9
RP11-1149M10.1
AC007880.1
LINC01229
FAM170B
TRBV5-1
IGKV1D-13
RP11-403B2.6
LINC00384
LINC00563
TRAV8-3
IGLV9-49
RP11-800A3.3
IGHV3-64
IGHV3-43
TRBV7-9
IGKV6D-21
OCM
IGKV2-30
IGHV4-31
KB-173C10.1
SERPINB10
RP11-329N22.1
UTS2B
MS4A6E
CTD-2534I21.8
RP11-240M16.1
TPTE2
CASQ1
AC007381.3
ANKRD20A2
RP11-493L12.5
IGLV4-60
KIR2DL1
KLRK1
TRGV9
FCRL6
TRBV28
RP5-887A10.1
PYHIN1
RP11-291B21.2
CD40LG
GPR171
NCR1
KIR3DL1
DTHD1
FGFBP2
KIR3DL2
CTD-2506J14.1
RP11-104L21.3
OPRM1
LINC00861
GZMH
FASLG
CD3E
TRGV10
TRAT1
KLRB1
KLRC1
TRDC
GZMM
CXCR6
CD160
CTB-133G6.1
TMIGD2
AC092580.4
GTSCR1
TRAV4
CD2
RP11-973H7.4
THEMIS
CD3G
KLRC4
P2RY10
GZMK
RP11-222K16.2
TRGC2
TBX21
CD8A
LINC00402
GZMA
IL18RAP
CD247
CD7
ZNF831
CD3D
EOMES
PRF1
CMA1
KIR2DL3
LAX1
RPH3A
AC006129.2
ITK
TRAV17
IL26
HDC
IL2
CCL5
TRBC1
TRGC1
LY9
TRBC2
CD96
COL19A1
RP11-693J15.5
TNFRSF13B
AC104820.2
BRDT
SH2D1B
GRAP2
LINC00544
XCL2
XCL1
CTSW
FCRL1
CXCR4
MS4A2
KLRC2
RGL4
TRAC
ZNF683
FCRL5
TRAV13-2
NKG7
SLA2
KLRD1
CD27
CD69
KLRF1
KIR2DL4
ABCD2
ZNF80
CD6
BLK
AL928768.3
GCSAML
TIGIT
CD52
RP11-973H7.1
ICOS
PDCD1
SH2D1A
CD28
STAT4
ARRDC5
TRGV3
SPOCK2
SLC4A10
PROK2
MS4A1
ZAP70
NCR3
TRAV23DV6
CD8B
IFNG
TNFRSF17
IKZF3
RTP5
CCR4
CST7
IGLL1
GPR18
TBC1D10C
SLAMF6
TKTL1
TNFSF8
SYTL3
CYTIP
LTB
TMEM156
IL9R
CD79A
RHOH
PTPRC
PSMA8
IL5RA
CD37
SRGN
ACAP1
CD48
RP11-367G6.3
FCRL3
SIAH3
TRAV22
CCR6
P2RY8
TNFRSF13C
RP11-275I4.2
CXCR5
S1PR5
TESPA1
FCRL2
AC104024.1
SLFN12L
FXYD7
RP11-563D10.1
RP11-403A21.1
GATA3
SAMD3
CAMK4
NELL2
LINC00158
TRAF3IP3
KLRG1
LCK
CLEC2D
IGHV1-24
TRAV5
SLC18A2
NLRC3
RP11-476B1.1
IL12RB2
SAMSN1
CCR7
GTSF1L
IL4
RP11-290F5.1
GPR174
HCST
LAT
SELL
RP11-325F22.2
RP11-18H21.1
RP11-305L7.3
FCMR
VPREB3
S100A12
PNOC
NUGGC
IL7R
STAP1
IGLV5-45
CD226
TRBV19
CD244
IL17A
IL23R
SCML4
CD5
MEI1
AP000476.1
MIAT
GNLY
SLC17A3
GFI1
TPSAB1
CPA3
TAGAP
PRKCQ
GNG2
IPCEF1
TRBV20-1
CTC-505O3.3
NTRK1
RP11-589C21.6
RP11-47L3.1
RNF125
PATL2
RP11-81H14.2
GZMB
FYN
ITM2A
